breeds.primary,id.1,organization_id,age,gender,size,coat,tags,name_x,description,status_changed_at,published_at,distance,colors.primary,attributes.spayed_neutered,attributes.house_trained,attributes.special_needs,attributes.shots_current,contact.address.city,contact.address.postcode,animal_id,organization_id.1,name_y
adopted,Catahoula Leopard Dog,75,75,75,75,75,72,75,75,68,75,75,75,70,75,75,75,75,75,75,75,75,75
adopted,Cattle Dog,60,60,60,60,60,54,60,60,53,60,60,60,48,60,60,60,60,60,60,60,60,60
adopted,Cavalier King Charles Spaniel,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,Chesapeake Bay Retriever,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7
adopted,Chihuahua,560,560,560,560,560,421,560,560,507,560,560,560,417,560,560,560,560,560,560,560,560,560
adopted,Chinese Crested Dog,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Chiweenie,37,37,37,37,37,35,37,37,30,37,37,37,26,37,37,37,37,37,37,37,37,37
adopted,Chocolate Labrador Retriever,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,Chow Chow,13,13,13,13,13,8,13,13,11,13,13,13,8,13,13,13,13,13,13,13,13,13
adopted,Cockapoo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Cocker Spaniel,56,56,56,56,56,48,56,56,55,56,56,56,51,56,56,56,56,56,56,56,56,56
adopted,Collie,61,61,61,61,61,58,61,61,60,61,61,61,56,61,61,61,61,61,61,61,61,61
adopted,Coonhound,9,9,9,9,9,6,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9
adopted,Corgi,29,29,29,29,29,28,29,29,27,29,29,29,28,29,29,29,29,29,29,29,29,29
adopted,Dachshund,292,292,292,292,292,168,292,292,287,292,292,292,168,292,292,292,292,292,292,292,292,292
adopted,Dalmatian,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,Doberman Pinscher,25,25,25,25,25,15,25,25,25,25,25,25,18,25,25,25,25,25,25,25,25,25
adopted,Dogue de Bordeaux,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Dutch Shepherd,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
adopted,English Bulldog,10,10,10,10,10,8,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10
adopted,English Cocker Spaniel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,English Pointer,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
adopted,English Setter,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
adopted,English Shepherd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,English Springer Spaniel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,English Toy Spaniel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Flat-Coated Retriever,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9
adopted,Fox Terrier,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
adopted,Foxhound,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,French Bulldog,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
adopted,German Pinscher,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,German Shepherd Dog,223,223,223,223,223,196,223,223,218,223,223,223,130,223,223,223,223,223,223,223,223,223
adopted,German Shorthaired Pointer,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
adopted,Golden Retriever,44,44,44,44,44,32,44,44,39,44,44,44,28,44,44,44,44,44,44,44,44,44
adopted,Goldendoodle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
adopted,Great Dane,104,104,104,104,104,43,104,104,101,104,104,104,50,104,104,104,104,104,104,104,104,104
adopted,Great Pyrenees,114,114,114,114,114,106,114,114,109,114,114,114,101,114,114,114,114,114,114,114,114,114
