id,id,organization_id,url,type,species,age,gender,size,name,status,status_changed_at,published_at,distance,breeds.primary,breeds.secondary,attributes.spayed_neutered,attributes.special_needs,attributes.shots_current,contact.address.city,contact.address.state,contact.address.postcode
179,48356688,TX644,https://www.petfinder.com/dog/valerie-48356688/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,VALERIE,adoptable,2020-06-30T01:25:14+0000,2020-06-30T01:25:14+0000,70.4342,Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
180,48356688,TX644,https://www.petfinder.com/dog/valerie-48356688/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,VALERIE,adoptable,2020-06-30T01:25:14+0000,2020-06-30T01:25:14+0000,70.4342,Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
181,48317466,TX644,https://www.petfinder.com/dog/elroy-48317466/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Male,Small,Elroy,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Shepherd,,FALSE,FALSE,TRUE,Dalhart,TX,79022
182,48317403,TX644,https://www.petfinder.com/dog/bella2-48317403/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,BELLA2,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Labrador Retriever,,FALSE,FALSE,TRUE,Dalhart,TX,79022
183,48317381,TX644,https://www.petfinder.com/dog/ben-48317381/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,Ben,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Labrador Retriever,,FALSE,FALSE,TRUE,Dalhart,TX,79022
184,48317462,TX644,https://www.petfinder.com/dog/alexa-48317462/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,ALEXA,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Husky,,FALSE,FALSE,TRUE,Dalhart,TX,79022
185,48317465,TX644,https://www.petfinder.com/dog/kimmie-48317465/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Female,Small,Kimmie,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Yellow Labrador Retriever,Pit Bull Terrier,FALSE,FALSE,TRUE,Dalhart,TX,79022
186,48317383,TX644,https://www.petfinder.com/dog/jerry-48317383/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,Jerry,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Border Collie,Rottweiler,FALSE,FALSE,TRUE,Dalhart,TX,79022
187,48317396,TX644,https://www.petfinder.com/dog/barry-48317396/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Small,BARRY,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Catahoula Leopard Dog,,FALSE,FALSE,TRUE,Dalhart,TX,79022
188,48317486,TX644,https://www.petfinder.com/dog/cleatus-48317486/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,CLEATUS,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Shepherd,,TRUE,FALSE,TRUE,Dalhart,TX,79022
189,48317409,TX644,https://www.petfinder.com/dog/shayna-48317409/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Young,Female,Medium,SHAYNA,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Labrador Retriever,,TRUE,FALSE,TRUE,Dalhart,TX,79022
190,48317402,TX644,https://www.petfinder.com/dog/tex-48317402/tx/dalhart/dawgsntexas-aka-dalhart-animal-wellness-group-and-sanctuary-tx644/?referrer_id=54b3e8b4-1f2b-4e09-ab92-c91e8b0bece0,Dog,Dog,Adult,Male,Medium,TEX,adoptable,2020-06-25T14:47:23+0000,2020-06-25T14:47:23+0000,70.4342,Labrador Retriever,Pit Bull Terrier,FALSE,FALSE,TRUE,Dalhart,TX,79022
